model_name,model_path,model_size_mb,parameter_count_m,gpu_memory_mb,process_gpu_memory_mb,frame_count,mean_latency_ms,fps,mean_detections,mean_confidence,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count,success_rate
yolo26n_seg_pt,yolo26n-seg.pt,6.41,2.72,252.0,252.0,969,5.828,171.596,1.03,0.271,0.952,0.783,11.32,0.4,0.004,97.9,96.9,1.0
yolo26n_seg_onnx,yolo26n-seg.onnx,10.65,,346.0,346.0,952,7.39,135.327,1.007,0.277,0.952,0.927,11.32,0.4,0.004,96.2,95.2,1.0
yolo26n_seg_fp16_engine,yolo26n-seg_fp16.engine,8.35,,196.0,196.0,952,3.846,259.979,1.011,0.278,0.952,0.584,11.32,0.4,0.004,96.2,95.2,1.0
