episode,success,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count
1,1,0.927,0.647,10.01,1,0.01,101,100
2,1,0.928,0.628,13.009,0,0.0,114,113
3,1,0.942,0.666,15.25,0,0.0,121,120
4,1,0.93,0.819,18.526,0,0.0,149,148
5,1,0.906,0.856,17.28,0,0.0,154,153
6,1,0.927,0.648,12.512,0,0.0,114,113
7,1,0.947,0.631,16.5,0,0.0,111,110
8,1,0.94,0.592,12.755,0,0.0,104,103
9,1,0.951,0.539,11.52,0,0.0,95,94
10,1,0.932,0.48,9.75,0,0.0,83,82
11,1,0.939,0.47,10.537,1,0.0112,90,89
12,1,0.93,0.83,17.0,0,0.0,144,143
13,1,0.943,0.838,17.271,0,0.0,143,142
14,1,0.98,0.428,9.517,0,0.0,77,76
15,1,0.926,0.592,12.524,1,0.0093,109,108
16,1,0.952,0.765,16.513,4,0.031,130,129
17,1,0.966,0.531,12.0,0,0.0,91,90
18,1,0.935,0.901,21.25,0,0.0,159,158
19,1,0.916,0.938,18.5,0,0.0,160,159
20,1,0.926,0.958,18.774,0,0.0,165,164
