episode,success,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count
1,1,0.958,0.761,13.479,2,0.0179,113,112
2,1,0.978,0.534,11.25,0,0.0,88,87
3,1,0.969,0.467,10.25,0,0.0,83,82
4,1,0.951,0.48,10.0,0,0.0,80,79
5,1,0.925,0.667,11.723,2,0.018,112,111
6,1,0.973,0.518,10.5,0,0.0,86,85
7,1,0.918,0.662,12.5,0,0.0,114,113
8,1,0.943,0.605,12.75,0,0.0,101,100
9,1,0.92,0.683,11.0,0,0.0,110,109
10,1,0.986,0.461,9.75,0,0.0,75,74
