episode,step,latency_ms,fps,detections,avg_confidence
1,0,14.254717001676909,70.15221697367693,3,0.461384375890096
1,1,7.306203999178251,136.8699806510293,4,0.5635252371430397
1,2,7.017050000285963,142.51002913749332,5,0.4135193586349487
1,3,6.905864000145812,144.80447341257891,4,0.4409138336777687
1,4,7.685949000006076,130.10755080461885,5,0.4464747548103333
1,5,7.314133999898331,136.7215859066706,6,0.4889374126990636
1,6,7.210720999864861,138.68238696501243,5,0.5307237386703492
1,7,7.732279000265407,129.32797690896504,6,0.5224941770235697
1,8,7.202871000117739,138.8335290169231,5,0.46760613918304444
1,9,6.96647299992037,143.54466026229204,4,0.6151072904467583
1,10,6.746286000634427,148.22970741322843,3,0.6362172762552897
1,11,6.712282998705632,148.98060766997395,3,0.7094870209693909
1,12,7.076874000631506,141.30532773520693,5,0.4556375086307526
1,13,6.787299998904928,147.33399144893278,3,0.6260391473770142
1,14,6.906954000442056,144.78162152752117,5,0.4538238763809204
1,15,6.602727999052149,151.4525511490939,2,0.6559467315673828
1,16,6.815832000938826,146.71723127305046,4,0.5011637136340141
1,17,6.7380279997451,148.41137496576596,2,0.598071426153183
1,18,7.704141000431264,129.8003242599041,1,0.6313708424568176
1,19,6.033044999639969,165.7537777456784,0,0.0
1,20,5.883931000425946,169.95440631911023,0,0.0
1,21,5.68132000080368,176.01543300826918,1,0.4193659722805023
1,22,5.223901000135811,191.4278237612087,0,0.0
1,23,5.6379060006293,177.3708181527646,1,0.4818204641342163
1,24,5.304360000081942,188.52415748262786,0,0.0
1,25,5.678855999576626,176.09180441880417,0,0.0
1,26,5.414298000687268,184.69615079795466,0,0.0
1,27,5.319662999681896,187.98183269500302,0,0.0
1,28,5.805504999443656,172.25030382298016,1,0.42484185099601746
1,29,5.730576000132714,174.50252818858715,0,0.0
1,30,5.392158000177005,185.4545063344163,0,0.0
1,31,5.2477520002867095,190.55778549469665,0,0.0
1,32,5.116292000820977,195.4540514574885,0,0.0
1,33,5.231383000136702,191.15404090541045,0,0.0
1,34,5.09395900007803,196.3109636305832,0,0.0
1,35,5.19771100152866,192.3923818977041,0,0.0
1,36,5.0928900000144495,196.3521693963865,0,0.0
1,37,5.14056499923754,194.53114592429475,0,0.0
1,38,5.1593690004665405,193.8221514897605,0,0.0
1,39,5.098224999528611,196.1466981336566,0,0.0
1,40,5.11577799989027,195.47368944106827,0,0.0
1,41,5.069516999355983,197.25745078417472,0,0.0
1,42,5.116581000038423,195.44301165025837,0,0.0
1,43,5.140302999279811,194.5410611281293,0,0.0
1,44,5.191759999433998,192.61290970865744,0,0.0
1,45,5.177437000384089,193.14575917115263,0,0.0
1,46,5.15817599989532,193.86697933926527,0,0.0
1,47,5.06942500032892,197.26103057745541,0,0.0
