episode,step,latency_ms,fps,detections,avg_confidence
1,0,7.5559819997579325,132.34547144660172,0,0.0
1,1,6.00789099917165,166.44776014376376,0,0.0
1,2,5.932383000981645,168.56632483683669,0,0.0
1,3,6.477111001004232,154.38981975837018,0,0.0
1,4,5.997461999868392,166.73719650444536,0,0.0
1,5,5.914915998801007,169.06410846793204,0,0.0
1,6,5.867333999049151,170.43515848289155,0,0.0
1,7,5.903962999582291,169.37775525875597,0,0.0
1,8,5.868255000677891,170.40840929449755,0,0.0
1,9,5.914019000556436,169.08975096392356,0,0.0
1,10,5.861015000846237,170.61891154614278,0,0.0
1,11,5.9298570013197605,168.6381306964802,0,0.0
1,12,5.966693001028034,167.5970256602283,0,0.0
1,13,5.840916999659385,171.20599386334635,0,0.0
1,14,5.886496001039632,169.8803498419751,0,0.0
1,15,5.9122239999851445,169.14108802415348,0,0.0
1,16,5.84785199862381,171.0029597594694,0,0.0
1,17,5.876287001228775,170.17548662801744,0,0.0
1,18,5.90794700110564,169.26353601561684,0,0.0
1,19,5.902635000893497,169.415862550984,0,0.0
1,20,5.850722998729907,170.919047136069,0,0.0
1,21,5.854070999703254,170.82129684636394,0,0.0
1,22,5.925344999923254,168.76654439749115,0,0.0
1,23,5.845928999406169,171.05921062359468,0,0.0
1,24,5.920589999732329,168.9020857794933,0,0.0
1,25,5.878108000615612,170.12276737604523,0,0.0
1,26,6.103252999309916,163.84705010804373,0,0.0
1,27,5.956045000857557,167.8966495142362,0,0.0
1,28,5.858223999894108,170.7001985615565,0,0.0
1,29,5.89013100034208,169.77551092529575,0,0.0
1,30,5.918474998907186,168.96244390398616,0,0.0
1,31,5.912816999625647,169.12412477222145,0,0.0
1,32,5.878522000784869,170.11078632800647,0,0.0
1,33,5.9469039988471195,168.1547239023637,0,0.0
1,34,5.86456599921803,170.51560168874187,0,0.0
1,35,5.883549998543458,169.96541208072708,0,0.0
1,36,5.034042000261252,198.64752815890353,0,0.0
1,37,12.753622000673204,78.40909821125439,1,0.6190735101699829
1,38,6.620942000154173,151.03590999237184,1,0.7601032853126526
1,39,5.265555000733002,189.9135038682139,0,0.0
1,40,5.070225999588729,197.22986708701248,0,0.0
1,41,6.18155700067291,161.7715407123387,2,0.31601476669311523
1,42,5.8364199994684896,171.33790921336504,1,0.4334181547164917
1,43,5.188314999031718,192.7408031676233,0,0.0
1,44,5.0339619992882945,198.65068511470304,0,0.0
1,45,5.9407250009826384,168.32962304004863,1,0.5440506339073181
1,46,5.833866998727899,171.41288963530613,1,0.6231327652931213
1,47,5.9883289995923406,166.9914929637426,1,0.5902206897735596
1,48,5.949582000539522,168.07903478081616,2,0.5673651844263077
1,49,5.89198200032115,169.7221749736326,2,0.5867854952812195
1,50,6.061459000193281,164.97678198732567,2,0.4818171262741089
1,51,6.086536999646341,164.29703788182098,3,0.7076273163159689
1,52,6.911731999935,144.68153568590395,3,0.6686420738697052
1,53,5.919720000747475,168.9269086838113,1,0.7990573644638062
1,54,6.267347000175505,159.55714594580402,3,0.6355838676293691
1,55,6.096188000810798,164.03693584695864,2,0.7315780818462372
1,56,6.0120489997643745,166.33264300393964,2,0.7473853826522827
1,57,5.899900999793317,169.49436948773067,2,0.7116242051124573
1,58,6.6704529999697115,149.9148558582964,4,0.5879604667425156
1,59,6.764326999473269,147.8343669780998,4,0.5586267933249474
1,60,6.072201000279165,164.6849305472638,4,0.46069011837244034
1,61,6.105782998929499,163.77915824642406,4,0.5089839696884155
1,62,6.053996999980882,165.1801281043182,4,0.46729863435029984
1,63,6.326234000880504,158.0719271308676,3,0.7072815497716268
1,64,6.256845999814686,159.82493416485204,5,0.5452895641326905
1,65,6.154085000162013,162.49369320925433,3,0.4581270217895508
1,66,6.189428000652697,161.56581834291416,5,0.47933596968650816
1,67,5.902899998545763,169.40825700017953,3,0.4942913254102071
1,68,6.259690000661067,159.75231998619628,4,0.4109768941998482
1,69,5.953965001026518,167.95530370561315,2,0.7594408094882965
1,70,5.804014999739593,172.2945237124416,2,0.7092515528202057
1,71,5.873624000741984,170.25264127797,2,0.7834683954715729
1,72,6.38879799953429,156.52396586539356,2,0.6669128984212875
1,73,6.292842999755521,158.9106863207695,3,0.6204347709814707
1,74,5.948406000243267,168.11226401814264,2,0.38711823523044586
1,75,5.677580000337912,176.1313799084263,1,0.3995487093925476
1,76,5.8988210003008135,169.52540176231904,2,0.3242364078760147
