episode,success,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count
1,1,0.927,0.811,10.01,1,0.01,101,100
2,1,0.928,0.849,13.009,0,0.0,114,113
3,1,0.942,0.904,15.25,0,0.0,121,120
4,1,0.93,1.112,18.526,0,0.0,149,148
5,1,0.906,1.149,17.28,0,0.0,154,153
6,1,0.927,0.867,12.512,0,0.0,114,113
7,1,0.947,0.848,16.5,0,0.0,111,110
8,1,0.94,0.802,12.755,0,0.0,104,103
9,1,0.951,0.724,11.52,0,0.0,95,94
10,1,0.932,0.643,9.75,0,0.0,83,82
11,1,0.939,0.64,10.537,1,0.0112,90,89
12,1,0.958,0.93,16.5,0,0.0,121,120
13,1,0.943,1.091,17.27,1,0.0074,137,136
14,1,0.98,0.575,9.517,0,0.0,77,76
15,1,0.926,0.797,12.524,1,0.0093,109,108
16,1,0.952,1.0,16.513,4,0.031,130,129
17,1,0.966,0.715,12.0,0,0.0,91,90
18,1,0.935,1.199,21.25,0,0.0,159,158
19,1,0.916,1.24,18.5,0,0.0,160,159
20,1,0.939,1.19,18.509,4,0.0261,154,153
