model_name,episode,total_samples,contact_valid_samples,contact_valid_rate,all_mae_m,all_rmse_m,all_mape_pct,all_mean_signed_error_m,contact_valid_mae_m,contact_valid_rmse_m,contact_valid_mape_pct,contact_valid_mean_signed_error_m
yolo26n_seg_pt,0,96,66,0.6875,0.7623565873761252,1.7672018733588886,29.604038703440153,0.7290111829865286,0.04515282577224188,0.0707782074616169,1.861842578622718,-0.0033495806126258927
yolo26n_seg_pt,1,89,54,0.6067415730337079,0.7941612930966329,1.6560966898525706,31.777500258655017,0.7582289030558065,0.08394751212330004,0.15269110966241384,5.007159756777515,0.025784504382257992
yolo26n_seg_pt,2,101,55,0.5445544554455446,0.7114404719985589,2.4999538644657053,36.7668017387857,0.6851021990240642,0.11356468606315324,0.17376000221721638,9.686349529474889,0.06722725824632955
yolo26n_seg_pt,3,106,73,0.6886792452830188,0.7013480063041339,1.3630357788037906,46.85689693503612,0.6775091192578807,0.22310666611254015,0.3205104205717102,30.00663270576812,0.1884912958809945
yolo26n_seg_pt,4,123,60,0.4878048780487805,0.8941681167978368,1.5183994014969109,44.980120799910964,0.792166089637891,0.22328717902572592,0.3547898472915814,14.192889807371825,0.01418302334783686
yolo26n_seg_pt,5,119,61,0.5126050420168067,0.6999889826891658,1.1347220940817249,41.82183529505679,0.6816673153051683,0.15556374980467902,0.2502977566671007,19.173975137779813,0.11982148064573352
yolo26n_seg_pt,6,125,65,0.52,0.8417585984527877,1.8219967194653237,40.33750463042636,0.8086880136153342,0.05469126827780334,0.08247279057935902,2.0305109997752204,-0.008906010255760967
yolo26n_seg_pt,7,103,49,0.47572815533980584,1.02007751460454,1.6701645344034102,60.620615142406486,0.9342825733944371,0.27651666402578357,0.3942631604744333,24.855164249362737,0.09617219576781202
yolo26n_seg_pt,8,87,61,0.7011494252873564,0.7575404267680613,2.238241360120186,31.405734451397784,0.7160908807378074,0.06296089139888966,0.11320078326471844,3.7092315059906626,0.0038443257491830706
yolo26n_seg_pt,9,88,56,0.6363636363636364,1.2474794454450366,4.690310393295085,37.1455328644104,1.19987690094609,0.06563486802280184,0.12255214414666486,2.1945129118693982,-0.009169130475543177
