episode,step,detection_index,class_id,class_name,confidence,predicted_distance_m,gt_distance_m,signed_error_m,absolute_error_m,relative_error_pct,bottom_y_px,lowest_x_px,lowest_y_px,lowest_pixel_depth_m,lowest_point_height_m,contact_valid
0,37,0,58,potted plant,0.6190735101699829,4.808152731105021,4.796792467969738,0.011360263135283155,0.011360263135283155,0.23683040721775134,253,528,253,4.984368801116943,0.01436012275071552,True
0,38,0,58,potted plant,0.7601032853126526,4.417679139474614,4.489579597272418,-0.0719004577978044,0.0719004577978044,1.6014964483865377,261,547,261,4.623907089233398,0.010140480044070976,True
0,41,0,58,potted plant,0.32882529497146606,9.736517592885464,4.295191924627121,5.441325668258344,5.441325668258344,126.68411013393128,205,604,205,3.938445568084717,0.8967447168101719,False
0,41,1,58,potted plant,0.3032042384147644,3.789430025844956,3.7906560138745213,-0.0012259880295655279,0.0012259880295655279,0.032342370953159,277,583,277,4.0236430168151855,0.009223287456813,True
0,42,0,58,potted plant,0.4334181547164917,3.5329678035523537,3.5383317036328394,-0.005363900080485706,0.005363900080485706,0.1515940428925456,285,602,285,3.7834620475769043,0.006847757213713557,True
0,45,0,58,potted plant,0.5440506339073181,3.5329678035523537,3.572342579368712,-0.03937477581635829,0.03937477581635829,1.1022116424040278,285,554,285,3.778775453567505,0.008697332620620335,True
0,46,0,58,potted plant,0.6231327652931213,3.3060809373083413,3.3362698137093663,-0.030188876401024967,0.030188876401024967,0.9048691528776581,293,566,293,3.5607922077178955,0.00873840711298901,True
0,47,0,58,potted plant,0.5902206897735596,3.789430025844956,3.7933242225525787,-0.003894196707622921,0.003894196707622921,0.10265921073844997,277,482,277,4.009699821472168,0.014389300154496132,True
0,48,0,58,potted plant,0.6471511125564575,4.08165363695277,4.115387840414648,-0.03373420346187839,0.03373420346187839,0.8197089744639834,269,419,269,4.28705358505249,0.015152955069211327,True
0,48,1,56,chair,0.48757925629615784,3.010904127673106,3.0656875128627483,-0.05478338518964243,0.05478338518964243,1.7869852997015192,305,637,305,3.3059539794921875,-0.004284200267079541,True
0,49,0,57,couch,0.6915028691291809,3.202174322980737,3.3062593076763633,-0.10408498469562621,0.10408498469562621,3.1481192190208778,297,629,297,3.49834942817688,-0.007349850740063335,True
0,49,1,58,potted plant,0.48206812143325806,4.417679139474614,4.330290487075631,0.08738865239898264,0.08738865239898264,2.018078294280869,261,357,261,4.606134414672852,0.015866976679516975,True
0,50,0,58,potted plant,0.598345160484314,4.08165363695277,4.068060520539295,0.013593116413474604,0.013593116413474604,0.3341424333498507,269,361,269,4.2872724533081055,0.015077148719667921,True
0,50,1,57,couch,0.3652890920639038,3.103932365323887,2.997275418945529,0.10665694637835799,0.10665694637835799,3.55846331986004,301,576,301,3.389507532119751,-0.0013778049692330097,True
0,51,0,57,couch,0.8899973630905151,3.5329678035523537,3.568829569007959,-0.035861765455605266,0.035861765455605266,1.0048606906598203,285,496,285,3.7860233783721924,0.005836921959279984,True
0,51,1,58,potted plant,0.6436900496482849,4.08165363695277,4.122462664746588,-0.04080902779381823,0.04080902779381823,0.989918675135577,269,309,269,4.286834239959717,0.015228926574200274,True
0,51,2,56,chair,0.5891945362091064,3.930619911182698,3.8965180478340513,0.03410186334864651,0.03410186334864651,0.8751881277080863,273,482,273,4.175036907196045,0.003540912054760037,True
0,52,0,57,couch,0.8425309658050537,3.789430025844956,3.8827024601413376,-0.09327243429638177,0.09327243429638177,2.4022555231540066,277,434,277,4.031377792358398,0.006357520486835355,True
0,52,1,58,potted plant,0.7275593876838684,4.08165363695277,4.067381343379647,0.014272293573123207,0.014272293573123207,0.3508963720934057,269,252,269,4.286615371704102,0.01530473292374368,True
0,52,2,58,potted plant,0.4358358681201935,4.372947047776889,2.815851542817579,1.5570955049593098,1.5570955049593098,55.2974999314509,262,624,262,2.9631550312042236,0.5363036212622175,False
0,53,0,57,couch,0.7990573644638062,3.5329678035523537,3.6092345521508977,-0.07626674859854399,0.07626674859854399,2.113100367863135,285,440,285,3.78653621673584,0.005634529086498974,True
0,54,0,57,couch,0.8754456639289856,3.3060809373083413,3.38260787427785,-0.07652693696950852,0.07652693696950852,2.262365009891848,293,449,293,3.5668482780456543,0.006202121770633395,True
0,54,1,58,potted plant,0.7620441317558289,3.5329678035523537,3.5566706641426653,-0.02370286059031157,0.02370286059031157,0.6664339442298389,285,247,285,3.764024019241333,0.014519021056095704,True
0,54,2,56,chair,0.26926180720329285,3.416156690958381,3.4223282409344713,-0.0061715499760901515,0.0061715499760901515,0.1803319127099568,289,444,289,3.7086925506591797,-0.008423307996476614,True
0,55,0,57,couch,0.8801883459091187,3.127987299800063,3.177926154756725,-0.04993885495666195,0.04993885495666195,1.5714290554521977,300,460,300,3.4240260124206543,-0.006332234556408967,True
0,55,1,58,potted plant,0.5829678177833557,3.3060809373083413,3.310957453518694,-0.004876516210352566,0.004876516210352566,0.1472841701777257,293,240,293,3.5478408336639404,0.014162449173043656,True
0,56,0,57,couch,0.802592933177948,2.8389123183635725,2.8818247818604403,-0.042912463496867836,0.042912463496867836,1.489072610069115,313,468,313,3.1213157176971436,0.004356418819717822,True
