true_distance_m,projected_y_px,quantized_y_px,estimated_distance_m,signed_error_m,absolute_error_m,relative_error_pct
2.1,468.5714285714286,469.0,2.0960698689956336,-0.003930131004366455,0.003930131004366455,0.18714909544602165
2.15,463.2558139534884,463.0,2.152466367713005,0.0024663677130050132,0.0024663677130050132,0.11471477734907039
2.1999999999999997,458.18181818181824,458.0,2.2018348623853217,0.0018348623853219337,0.0018348623853219337,0.08340283569645154
2.2499999999999996,453.3333333333334,453.0,2.253521126760564,0.003521126760564375,0.003521126760564375,0.15649452269175002
2.2999999999999994,448.6956521739131,449.0,2.2966507177033497,-0.0033492822966496583,0.0033492822966496583,0.1456209694195504
2.349999999999999,444.2553191489363,444.0,2.3529411764705888,0.002941176470589557,0.002941176470589557,0.12515644555700248
2.399999999999999,440.0000000000001,440.0,2.4000000000000004,1.3322676295501878e-15,1.3322676295501878e-15,5.5511151231257846e-14
2.449999999999999,435.9183673469389,436.0,2.448979591836735,-0.001020408163263653,0.001020408163263653,0.041649312786271576
2.4999999999999987,432.0000000000001,432.0,2.5000000000000004,1.7763568394002505e-15,1.7763568394002505e-15,7.105427357601006e-14
2.5499999999999985,428.2352941176472,428.0,2.5531914893617027,0.003191489361704214,0.003191489361704214,0.12515644555702807
2.5999999999999983,424.61538461538476,425.0,2.594594594594595,-0.00540540540540313,0.00540540540540313,0.20790020790012054
2.649999999999998,421.1320754716983,421.0,2.6519337016574593,0.0019337016574612065,0.0019337016574612065,0.07296987386646067
2.699999999999998,417.77777777777794,418.0,2.696629213483147,-0.0033707865168510764,0.0033707865168510764,0.12484394506855848
2.749999999999998,414.54545454545473,415.0,2.7428571428571433,-0.007142857142854453,0.007142857142854453,0.2597402597401621
2.7999999999999976,411.4285714285716,411.0,2.80701754385965,0.007017543859652253,0.007017543859652253,0.2506265664161521
2.8499999999999974,408.42105263157913,408.0,2.8571428571428577,0.007142857142860226,0.007142857142860226,0.2506265664161485
2.8999999999999972,405.5172413793106,406.0,2.891566265060242,-0.00843373493975541,0.00843373493975541,0.2908184461984627
2.949999999999997,402.71186440677985,403.0,2.9447852760736204,-0.005214723926376674,0.005214723926376674,0.17677030258903997
2.999999999999997,400.0000000000002,400.0,3.000000000000001,3.9968028886505635e-15,3.9968028886505635e-15,1.332267629550189e-13
3.0499999999999967,397.3770491803281,397.0,3.057324840764332,0.00732484076433515,0.00732484076433515,0.2401587135847593
3.0999999999999965,394.83870967741956,395.0,3.096774193548388,-0.003225806451608637,0.003225806451608637,0.10405827263253678
3.1499999999999964,392.38095238095264,392.0,3.157894736842106,0.00789473684210984,0.00789473684210984,0.2506265664161857
3.199999999999996,390.0000000000002,390.0,3.2000000000000006,4.440892098500626e-15,4.440892098500626e-15,1.3877787807814472e-13
3.249999999999996,387.6923076923079,388.0,3.243243243243244,-0.006756756756752136,0.006756756756752136,0.20790020790006597
3.299999999999996,385.45454545454567,385.0,3.3103448275862077,0.010344827586211913,0.010344827586211913,0.3134796238246038
3.3499999999999956,383.28358208955245,383.0,3.3566433566433576,0.0066433566433619085,0.0066433566433619085,0.19830915353319156
3.3999999999999955,381.1764705882355,381.0,3.404255319148937,0.0042553191489416164,0.0042553191489416164,0.12515644555710653
3.4499999999999953,379.1304347826089,379.0,3.453237410071943,0.003237410071947888,0.003237410071947888,0.09383797309993892
3.499999999999995,377.14285714285734,377.0,3.5036496350364974,0.0036496350365022856,0.0036496350365022856,0.1042752867572083
3.549999999999995,375.211267605634,375.0,3.5555555555555562,0.005555555555561309,0.005555555555561309,0.1564945226918681
3.5999999999999948,373.3333333333336,373.0,3.609022556390978,0.009022556390983372,0.009022556390983372,0.2506265664162051
3.6499999999999946,371.50684931506873,372.0,3.636363636363637,-0.013636363636357451,0.013636363636357451,0.3735990037358211
3.6999999999999944,369.72972972972997,370.0,3.6923076923076934,-0.007692307692301004,0.007692307692301004,0.20790020790002744
3.7499999999999942,368.0000000000002,368.0,3.750000000000001,6.661338147750939e-15,6.661338147750939e-15,1.7763568394002532e-13
3.799999999999994,366.31578947368445,366.0,3.8095238095238106,0.009523809523816595,0.009523809523816595,0.25062656641622655
3.849999999999994,364.6753246753249,365.0,3.8400000000000007,-0.009999999999993125,0.009999999999993125,0.2597402597400816
3.8999999999999937,363.0769230769233,363.0,3.9024390243902447,0.00243902439025101,0.00243902439025101,0.06253908692951318
3.9499999999999935,361.51898734177234,362.0,3.9344262295081975,-0.01557377049179598,0.01557377049179598,0.3942726706783799
3.9999999999999933,360.0000000000002,360.0,4.000000000000001,7.549516567451064e-15,7.549516567451064e-15,1.8873791418627691e-13
4.049999999999994,358.5185185185187,359.0,4.033613445378152,-0.016386554621841576,0.016386554621841576,0.4046062869590519
4.0999999999999925,357.0731707317076,357.0,4.102564102564104,0.0025641025641114368,0.0025641025641114368,0.06253908692954735
4.149999999999993,355.6626506024098,356.0,4.13793103448276,-0.012068965517233465,0.012068965517233465,0.2908184461983972
4.199999999999992,354.2857142857145,354.0,4.210526315789474,0.010526315789482155,0.010526315789482155,0.2506265664162422
4.249999999999993,352.94117647058846,353.0,4.24778761061947,-0.0022123893805225947,0.0022123893805225947,0.05205622071817878
4.299999999999992,351.62790697674444,352.0,4.2857142857142865,-0.014285714285705353,0.014285714285705353,0.33222591362105536
4.3499999999999925,350.3448275862071,350.0,4.363636363636365,0.01363636363637255,0.01363636363637255,0.3134796238246569
4.3999999999999915,349.09090909090935,349.0,4.403669724770643,0.003669724770651861,0.003669724770651861,0.08340283569663337
4.449999999999992,347.8651685393261,348.0,4.4444444444444455,-0.005555555555546654,0.005555555555546654,0.12484394506846436
4.499999999999991,346.6666666666669,347.0,4.485981308411216,-0.014018691588774779,0.014018691588774779,0.31152647975055126
4.549999999999992,345.4945054945057,345.0,4.571428571428573,0.021428571428581122,0.021428571428581122,0.47095761381497053
4.599999999999991,344.34782608695673,344.0,4.615384615384617,0.015384615384625988,0.015384615384625988,0.33444816053534826
4.6499999999999915,343.2258064516131,343.0,4.660194174757283,0.010194174757291563,0.010194174757291563,0.21922956467293722
4.69999999999999,342.12765957446834,342.0,4.7058823529411775,0.005882352941187108,0.005882352941187108,0.12515644555717276
