true_distance_m,base_quantized_y_px,pixel_offset_px,observed_y_px,estimated_distance_m,signed_error_m,absolute_error_m,relative_error_pct
2.1,469.0,-5,464.0,2.1428571428571432,0.04285714285714315,0.04285714285714315,2.040816326530626
2.1,469.0,-2,467.0,2.114537444933921,0.014537444933921062,0.014537444933921062,0.6922592825676697
2.1,469.0,-1,468.0,2.105263157894737,0.0052631578947370805,0.0052631578947370805,0.25062656641605147
2.1,469.0,0,469.0,2.0960698689956336,-0.003930131004366455,0.003930131004366455,0.18714909544602165
2.1,469.0,1,470.0,2.086956521739131,-0.013043478260869268,0.013043478260869268,0.6211180124223461
2.1,469.0,2,471.0,2.0779220779220786,-0.022077922077921475,0.022077922077921475,1.0513296227581654
2.1,469.0,5,474.0,2.051282051282052,-0.0487179487179481,0.0487179487179481,2.3199023199022903
2.15,463.0,-5,458.0,2.2018348623853217,0.051834862385321756,0.051834862385321756,2.4109238318754307
2.15,463.0,-2,461.0,2.171945701357467,0.021945701357466874,0.021945701357466874,1.0207302956961337
2.15,463.0,-1,462.0,2.1621621621621627,0.012162162162162815,0.012162162162162815,0.5656819610308286
2.15,463.0,0,463.0,2.152466367713005,0.0024663677130050132,0.0024663677130050132,0.11471477734907039
2.15,463.0,1,464.0,2.1428571428571432,-0.007142857142856673,0.007142857142856673,0.33222591362124065
2.15,463.0,2,465.0,2.1333333333333337,-0.016666666666666163,0.016666666666666163,0.775193798449589
2.15,463.0,5,468.0,2.105263157894737,-0.04473684210526274,0.04473684210526274,2.080783353733151
2.1999999999999997,458.0,-5,453.0,2.253521126760564,0.0535211267605642,0.0535211267605642,2.4327784891165547
2.1999999999999997,458.0,-2,456.0,2.2222222222222228,0.02222222222222303,0.02222222222222303,1.010101010101047
2.1999999999999997,458.0,-1,457.0,2.211981566820277,0.0119815668202774,0.0119815668202774,0.5446166736489728
2.1999999999999997,458.0,0,458.0,2.2018348623853217,0.0018348623853219337,0.0018348623853219337,0.08340283569645154
2.1999999999999997,458.0,1,459.0,2.1917808219178085,-0.008219178082191192,0.008219178082191192,0.3735990037359633
2.1999999999999997,458.0,2,460.0,2.1818181818181825,-0.01818181818181719,0.01818181818181719,0.8264462809916905
2.1999999999999997,458.0,5,463.0,2.152466367713005,-0.04753363228699481,0.04753363228699481,2.160619649408855
2.2499999999999996,453.0,-5,448.0,2.3076923076923084,0.05769230769230882,0.05769230769230882,2.5641025641026145
2.2499999999999996,453.0,-2,451.0,2.274881516587678,0.024881516587678565,0.024881516587678565,1.105845181674603
2.2499999999999996,453.0,-1,452.0,2.264150943396227,0.014150943396227245,0.014150943396227245,0.6289308176100998
2.2499999999999996,453.0,0,453.0,2.253521126760564,0.003521126760564375,0.003521126760564375,0.15649452269175002
2.2499999999999996,453.0,1,454.0,2.242990654205608,-0.007009345794391386,0.007009345794391386,0.31152647975072834
2.2499999999999996,453.0,2,455.0,2.232558139534884,-0.017441860465115422,0.017441860465115422,0.7751937984495745
2.2499999999999996,453.0,5,458.0,2.2018348623853217,-0.04816513761467789,0.04816513761467789,2.140672782874573
2.2999999999999994,449.0,-5,444.0,2.3529411764705888,0.05294117647058938,0.05294117647058938,2.3017902813299735
2.2999999999999994,449.0,-2,447.0,2.3188405797101455,0.018840579710146077,0.018840579710146077,0.8191556395715689
2.2999999999999994,449.0,-1,448.0,2.3076923076923084,0.007692307692308997,0.007692307692308997,0.33444816053517384
2.2999999999999994,449.0,0,449.0,2.2966507177033497,-0.0033492822966496583,0.0033492822966496583,0.1456209694195504
2.2999999999999994,449.0,1,450.0,2.2857142857142865,-0.014285714285712903,0.014285714285712903,0.6211180124223002
2.2999999999999994,449.0,2,451.0,2.274881516587678,-0.025118483412321257,0.025118483412321257,1.0921079744487507
2.2999999999999994,449.0,5,454.0,2.242990654205608,-0.05700934579439121,0.05700934579439121,2.4786672084517924
2.349999999999999,444.0,-5,439.0,2.4120603015075384,0.06206030150753916,0.06206030150753916,2.6408638939378375
2.349999999999999,444.0,-2,442.0,2.376237623762377,0.026237623762377815,0.026237623762377815,1.1164946281862904
2.349999999999999,444.0,-1,443.0,2.364532019704434,0.014532019704434962,0.014532019704434962,0.6183838172099986
2.349999999999999,444.0,0,444.0,2.3529411764705888,0.002941176470589557,0.002941176470589557,0.12515644555700248
2.349999999999999,444.0,1,445.0,2.341463414634147,-0.008536585365852112,0.008536585365852112,0.36325895173838785
2.349999999999999,444.0,2,446.0,2.3300970873786415,-0.019902912621357682,0.019902912621357682,0.8469324519726676
2.349999999999999,444.0,5,449.0,2.2966507177033497,-0.05334928229664948,0.05334928229664948,2.2701822253893402
2.399999999999999,440.0,-5,435.0,2.461538461538462,0.061538461538463096,0.061538461538463096,2.56410256410263
2.399999999999999,440.0,-2,438.0,2.4242424242424248,0.02424242424242573,0.02424242424242573,1.0101010101010726
2.399999999999999,440.0,-1,439.0,2.4120603015075384,0.01206030150753934,0.01206030150753934,0.5025125628141394
2.399999999999999,440.0,0,440.0,2.4000000000000004,1.3322676295501878e-15,1.3322676295501878e-15,5.5511151231257846e-14
2.399999999999999,440.0,1,441.0,2.388059701492538,-0.011940298507461033,0.011940298507461033,0.49751243781087656
2.399999999999999,440.0,2,442.0,2.376237623762377,-0.023762376237622007,0.023762376237622007,0.9900990099009175
2.399999999999999,440.0,5,445.0,2.341463414634147,-0.058536585365851934,0.058536585365851934,2.4390243902438318
2.449999999999999,436.0,-5,431.0,2.5130890052356025,0.06308900523560368,0.06308900523560368,2.5750614381879067
2.449999999999999,436.0,-2,434.0,2.474226804123712,0.02422680412371303,0.02422680412371303,0.9888491479066548
2.449999999999999,436.0,-1,435.0,2.461538461538462,0.011538461538463274,0.011538461538463274,0.47095761381482776
2.449999999999999,436.0,0,436.0,2.448979591836735,-0.001020408163263653,0.001020408163263653,0.041649312786271576
2.449999999999999,436.0,1,437.0,2.4365482233502544,-0.013451776649744396,0.013451776649744396,0.5490521081528328
2.449999999999999,436.0,2,438.0,2.4242424242424248,-0.02575757575757409,0.02575757575757409,1.0513296227581266
