episode,success,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count
1,1,0.927,0.973,10.01,1,0.01,101,100
2,1,0.928,1.042,13.009,0,0.0,114,113
3,1,0.942,1.107,15.25,0,0.0,121,120
4,1,0.93,1.362,18.526,0,0.0,149,148
5,1,0.906,1.407,17.28,0,0.0,154,153
6,1,0.927,1.053,12.512,0,0.0,114,113
7,1,0.947,1.038,16.5,0,0.0,111,110
8,1,0.94,0.966,12.755,0,0.0,104,103
9,1,0.951,0.88,11.52,0,0.0,95,94
10,1,0.932,0.783,9.75,0,0.0,83,82
11,1,0.939,0.791,10.537,1,0.0112,90,89
12,1,0.93,1.353,17.0,0,0.0,144,143
13,1,0.943,1.361,17.271,0,0.0,143,142
14,1,0.98,0.698,9.517,0,0.0,77,76
15,1,0.926,0.982,12.524,1,0.0093,109,108
16,1,0.952,1.238,16.513,4,0.031,130,129
17,1,0.966,0.864,12.0,0,0.0,91,90
18,1,0.935,1.48,21.25,0,0.0,159,158
19,1,0.916,1.517,18.5,0,0.0,160,159
20,1,0.926,1.569,18.774,0,0.0,165,164
