episode,step,latency_ms,fps,detections,avg_confidence
1,0,46.16928600080428,21.659420940202104,1,0.32080078125
1,1,4.488370002945885,222.79803121036426,0,0.0
1,2,5.864301998371957,170.5232780094919,3,0.3857421875
1,3,5.685578998964047,175.88358198561784,4,0.3382568359375
1,4,4.904741999780526,203.88432256880122,3,0.3816731770833333
1,5,4.613245000655297,216.7671562767538,3,0.444091796875
1,6,5.4036260007706005,185.06092017793088,4,0.29608154296875
1,7,4.469472998607671,223.7400249003674,2,0.38427734375
1,8,4.1692919985507615,239.84887610356824,0,0.0
1,9,4.620683997927699,216.4181754148268,1,0.43408203125
1,10,4.253484999935608,235.10133455628468,1,0.4130859375
1,11,3.6617099976865575,273.0964496456008,0,0.0
1,12,3.6989639993407764,270.3459671892504,0,0.0
1,13,4.2962190018442925,232.76280831370963,1,0.66552734375
1,14,4.226572000334272,236.59835912434752,1,0.62451171875
1,15,3.635217999544693,275.08666608859465,0,0.0
1,16,3.612315998907434,276.83070924649337,0,0.0
1,17,3.666347998660058,272.750977366434,0,0.0
1,18,3.6604800006898586,273.1882157016399,0,0.0
1,19,3.696470997965662,270.5282959207163,0,0.0
1,20,3.6415260001376737,274.61014969059494,0,0.0
1,21,3.66033800310106,273.198813648574,0,0.0
1,22,3.69680899893865,270.5035613922978,0,0.0
1,23,3.674342002341291,272.1575725293944,0,0.0
1,24,3.6193450032442342,276.2930859323001,0,0.0
1,25,3.6597600010281894,273.24196114473506,0,0.0
1,26,3.6570970005413983,273.44092865241464,0,0.0
1,27,4.253505998349283,235.10017392430711,1,0.29248046875
1,28,4.329485000198474,230.97435375204154,1,0.26123046875
1,29,4.658563000702998,214.65846868424782,2,0.390869140625
1,30,3.6312369993538596,275.3882492874851,0,0.0
1,31,4.3537210003705695,229.68858131122423,1,0.355712890625
1,32,4.184721001365688,238.96455693788164,1,0.53515625
1,33,3.9955020001798403,250.28144146967998,1,0.359375
1,34,3.9297920011449605,254.46639407598317,1,0.325927734375
1,35,3.238255001633661,308.8082931997363,0,0.0
1,36,3.195172001142055,312.9721966900588,0,0.0
1,37,3.1655530001444276,315.9005709126889,0,0.0
1,38,3.2669100000930484,306.09964767058716,0,0.0
1,39,3.249646000767825,307.7258260634298,0,0.0
1,40,3.225439999368973,310.0352200616476,0,0.0
1,41,3.5915879998356104,278.4283720866009,0,0.0
1,42,3.317108999908669,301.4673319530752,0,0.0
1,43,3.2494810002390295,307.7414516122546,0,0.0
1,44,3.1882740004220977,313.6493287175473,0,0.0
1,45,4.261131998646306,234.67942328885474,2,0.4515380859375
1,46,3.99956199908047,250.027378055374,2,0.4346923828125
1,47,3.192620999470819,313.22227103240607,0,0.0
1,48,4.143276000831975,241.3549084828524,2,0.609130859375
1,49,3.1932750025589485,313.15812111347896,0,0.0
1,50,3.2175970009120647,310.7909411018653,0,0.0
1,51,3.916088000551099,255.35687652046457,2,0.4324951171875
1,52,4.214288001094246,237.28800683302813,1,0.45703125
1,53,3.1920450019242708,313.27879130687904,0,0.0
1,54,3.2148729987966362,311.05427815478606,0,0.0
1,55,3.7664030023734085,265.50531086818046,1,0.275146484375
1,56,3.180327999871224,314.43297673714517,0,0.0
1,57,3.1389480027428363,318.57807110095246,0,0.0
1,58,3.1965909984137397,312.8332653430592,0,0.0
1,59,3.1480220022785943,317.659787408151,0,0.0
1,60,3.1970939999155235,312.78404702095804,0,0.0
1,61,3.7620990005962085,265.8090602723433,1,0.276611328125
1,62,3.1933230020513292,313.15341396959195,0,0.0
1,63,3.220488000806654,310.511947179907,0,0.0
1,64,3.2048059983935673,312.0313680457592,0,0.0
1,65,3.2795359984447714,304.9211841169672,0,0.0
1,66,3.20153899883735,312.3497793914594,0,0.0
1,67,3.2559610008320305,307.1289858031037,0,0.0
1,68,3.871971999615198,258.26633046400684,1,0.2568359375
1,69,3.2269060029648244,309.89436912051906,0,0.0
1,70,3.8083580002421513,262.5803561367959,1,0.435791015625
1,71,3.736880000360543,267.602920057245,1,0.443603515625
1,72,4.085455002496019,244.77077813586186,2,0.2879638671875
1,73,3.2624500017846003,306.51810738953475,0,0.0
1,74,4.14480499966885,241.26587380585946,3,0.455322265625
1,75,3.9721239991195034,251.75447700566974,1,0.3720703125
1,76,3.981408000981901,251.1674261350202,2,0.4461669921875
1,77,4.291474997444311,233.02011560023695,4,0.3548583984375
1,78,4.350180002802517,229.87554523163865,3,0.4344075520833333
1,79,3.83845000033034,260.52182519348673,1,0.611328125
1,80,3.8433250010712072,260.19137068066874,1,0.265869140625
1,81,3.968517001339933,251.9832974540261,2,0.3277587890625
1,82,3.8126719991851132,262.28324917898294,1,0.3720703125
1,83,4.275250998034608,233.90439542841202,3,0.2833658854166667
1,84,4.482748998270836,223.07740192139633,5,0.33974609375
1,85,4.292662997613661,232.95562697465678,4,0.50274658203125
1,86,3.9817779979784973,251.1440870153204,2,0.703369140625
1,87,4.08066000090912,245.05839736150833,3,0.5147298177083334
1,88,4.261876001692144,234.6384548970824,4,0.56134033203125
1,89,3.966115000366699,252.1359062728998,2,0.845458984375
1,90,4.075482000189368,245.3697501187675,3,0.7560221354166666
1,91,4.051287000038428,246.83514152182124,3,0.7688802083333334
1,92,4.614542998751858,216.70618309775855,5,0.549951171875
1,93,4.496640998695511,222.38822274006372,4,0.65838623046875
1,94,4.127148000407033,242.29807118653773,3,0.718017578125
