episode,step,detection_index,class_id,class_name,confidence,predicted_distance_m,gt_distance_m,signed_error_m,absolute_error_m,relative_error_pct,bottom_y_px,lowest_x_px,lowest_y_px,lowest_pixel_depth_m,lowest_point_height_m,contact_valid
0,0,0,59,bed,0.34497103095054626,2.0083682008368204,1.1780670881271362,0.8303011127096842,0.8303011127096842,70.47995153057688,479,462,479,0.7780311107635498,0.9189080141484739,False
0,1,0,58,potted plant,0.6088568568229675,2.5396825396825404,1.4943249225616455,1.045357617120895,1.045357617120895,69.95517516557854,429,567,429,1.4770513772964478,0.6276165302842858,False
0,1,1,60,dining table,0.5398198366165161,2.0083682008368204,1.186813235282898,0.8215549655539225,0.8215549655539225,69.22361001123232,479,394,479,0.7881183624267578,0.9113740980625153,False
0,2,0,58,potted plant,0.5041157603263855,2.8402366863905333,1.6713206768035889,1.1689160095869444,1.1689160095869444,69.93966064145772,409,483,409,1.6523420810699463,0.6273568384349347,False
0,2,1,59,bed,0.40661388635635376,2.0083682008368204,1.1926895380020142,0.8156786628348063,0.8156786628348063,68.38985644170451,479,330,479,0.7969344854354858,0.9047895561903716,False
0,2,2,0,person,0.31741055846214294,2.0083682008368204,0.4961682856082916,1.5121999152285288,1.5121999152285288,304.77560922190025,479,2,479,0.3911541700363159,1.2078567292541267,False
0,2,3,75,vase,0.3066377639770508,2.8402366863905333,1.6715954542160034,1.1686412321745299,1.1686412321745299,69.91172590395894,409,483,409,1.6523420810699463,0.6273568384349347,False
0,3,0,59,bed,0.5372229814529419,2.0083682008368204,1.1984317302703857,0.8099364705664347,0.8099364705664347,67.58302956345288,479,286,479,0.7925112843513489,0.9080931345000864,False
0,3,1,58,potted plant,0.5154717564582825,3.057324840764332,1.8003031015396118,1.25702173922472,1.25702173922472,69.82278362736365,397,414,397,1.7792820930480957,0.6270397230982782,False
0,4,0,59,bed,0.3729424476623535,2.0083682008368204,1.2037757635116577,0.8045924373251627,0.8045924373251627,66.83906269868764,479,242,479,0.7968929409980774,0.9048205846920611,False
0,5,0,59,bed,0.5506576299667358,2.0083682008368204,1.206667423248291,0.8017007775885294,0.8017007775885294,66.43924930287662,479,190,479,0.7886481285095215,0.9109784290194513,False
0,5,1,58,potted plant,0.382417768239975,3.2214765100671148,1.8977652788162231,1.3237112312508916,1.3237112312508916,69.75105119831197,389,294,389,1.87442147731781,0.6272224996238949,False
0,6,0,59,bed,0.7683202624320984,2.0083682008368204,1.2048650979995728,0.8035031028372477,0.8035031028372477,66.68822129309721,479,122,479,0.7554181814193726,0.9357970457524062,False
0,6,1,58,potted plant,0.3367658853530884,3.137254901960785,1.8470685482025146,1.2901863537582705,1.2901863537582705,69.85048578807877,393,234,393,1.8246203660964966,0.6276033874601127,False
0,7,0,59,bed,0.5532198548316956,2.0083682008368204,1.2018183469772339,0.8065498538595866,0.8065498538595866,67.11079556142482,479,42,479,1.9667989015579224,0.031047070398926957,True
0,8,0,58,potted plant,0.3513984680175781,2.6519337016574593,1.5611225366592407,1.0908111649982186,1.0908111649982186,69.87351340994184,421,100,421,1.5442817211151123,0.6265156514942647,False
0,8,1,59,bed,0.3225303590297699,2.0083682008368204,1.2009837627410889,0.8073844380957316,0.8073844380957316,67.22692372234758,479,6,479,1.1820220947265625,0.6171772480010989,False
0,9,0,58,potted plant,0.6205374002456665,2.341463414634147,1.3743393421173096,0.9671240725168375,0.9671240725168375,70.370107503936,445,2,445,1.3615354299545288,0.6277663651853801,False
0,10,0,0,person,0.3882323205471039,3.609022556390978,2.548266887664795,1.0607556687261832,1.0607556687261832,41.62655308440822,373,175,373,2.564800262451172,0.43400489091873196,False
0,10,1,59,bed,0.30901169776916504,2.0083682008368204,1.2046314477920532,0.8037367530447672,0.8037367530447672,66.72055212554191,479,2,479,1.1798856258392334,0.6187729232013227,False
0,13,0,75,vase,0.5718182325363159,2.711864406779662,1.0089465379714966,1.7029178688081652,1.7029178688081652,168.78177432789542,417,426,417,1.0664088726043701,0.9101425923407079,False
0,14,0,75,vase,0.616244375705719,2.77456647398844,1.1237627267837524,1.6508037472046877,1.6508037472046877,146.89967088776336,413,346,413,1.1807242631912231,0.8616709452122451,False
0,15,0,75,vase,0.44548502564430237,2.77456647398844,1.1584405899047852,1.616125884083655,1.616125884083655,139.50874116181376,413,286,413,1.1915925741195679,0.8557952646166087,False
0,16,0,75,vase,0.4063026010990143,2.711864406779662,1.157907485961914,1.5539569208177477,1.5539569208177477,134.20389276841246,417,205,417,1.201310634613037,0.835525055229664,False
