true_distance_m,base_quantized_y_px,pixel_offset_px,observed_y_px,estimated_distance_m,signed_error_m,absolute_error_m,relative_error_pct
1.2,475.0,-5,470.0,1.2274432635605295,0.027443263560529507,0.027443263560529507,2.286938630044126
1.2,475.0,-2,473.0,1.212107743143963,0.012107743143963123,0.012107743143963123,1.0089785953302604
1.2,475.0,-1,474.0,1.2070598522178566,0.007059852217856655,0.007059852217856655,0.5883210181547213
1.2,475.0,0,475.0,1.2020434374533817,0.002043437453381758,0.002043437453381758,0.17028645444847984
1.2,475.0,1,476.0,1.1970582053608054,-0.002941794639194528,0.002941794639194528,0.24514955326621068
1.2,475.0,2,477.0,1.1921038660878276,-0.007896133912172365,0.007896133912172365,0.6580111593476972
1.25,466.0,-5,461.0,1.2752496292077253,0.025249629207725333,0.025249629207725333,2.0199703366180266
1.25,466.0,-2,464.0,1.259005490656513,0.009005490656512904,0.009005490656512904,0.7204392525210324
1.25,466.0,-1,465.0,1.2536604778467009,0.0036604778467008714,0.0036604778467008714,0.2928382277360697
1.25,466.0,0,466.0,1.2483497561041785,-0.0016502438958214682,0.0016502438958214682,0.13201951166571746
1.25,466.0,1,467.0,1.2430729964912626,-0.006927003508737428,0.006927003508737428,0.5541602806989943
1.25,466.0,2,468.0,1.2378298742639806,-0.012170125736019388,0.012170125736019388,0.9736100588815512
1.25,466.0,5,471.0,1.222299145971686,-0.027700854028313904,0.027700854028313904,2.2160683222651123
1.3,457.0,-5,452.0,1.325946112971558,0.02594611297155791,0.02594611297155791,1.9958548439659929
1.3,457.0,-2,455.0,1.308710144310474,0.00871014431047401,0.00871014431047401,0.670011100805693
1.3,457.0,-1,456.0,1.3030409830413408,0.0030409830413407057,0.0030409830413407057,0.2339217724108235
1.3,457.0,0,457.0,1.2974092736530591,-0.002590726346940908,0.002590726346940908,0.19928664207237756
1.3,457.0,1,458.0,1.2918146462428892,-0.008185353757110825,0.008185353757110825,0.6296425967008327
1.3,457.0,2,459.0,1.2862567357633519,-0.013743264236648178,0.013743264236648178,1.05717417204986
