true_distance_m,projected_y_px,quantized_y_px,estimated_distance_m,signed_error_m,absolute_error_m,relative_error_pct
1.2,475.40914541573284,475.0,1.2020434374533817,0.002043437453381758,0.002043437453381758,0.17028645444847984
1.25,465.6885732803563,466.0,1.2483497561041785,-0.0016502438958214682,0.0016502438958214682,0.13201951166571746
1.3,456.5391531671926,457.0,1.2974092736530591,-0.002590726346940908,0.002590726346940908,0.19928664207237756
1.35,447.91198294711535,448.0,1.3494750554754738,-0.0005249445245263384,0.0005249445245263384,0.03888477959454359
1.4000000000000001,439.7635882598566,440.0,1.3985091679134343,-0.001490832086565863,0.001490832086565863,0.10648800618327592
1.4500000000000002,432.0551897936742,432.0,1.4503679913405616,0.00036799134056142435,0.00036799134056142435,0.025378713142167195
1.5000000000000002,424.75208614068026,425.0,1.498258451834095,-0.0017415481659053267,0.0017415481659053267,0.11610321106035511
1.5500000000000003,417.82313150392724,418.0,1.5486910255277297,-0.0013089744722705188,0.0013089744722705188,0.08444996595293669
1.6000000000000003,411.2402916731447,411.0,1.6018736410621959,0.0018736410621955635,0.0018736410621955635,0.11710256638722269
1.6500000000000004,404.9782649187156,405.0,1.6498221342233514,-0.00017786577664891112,0.00017786577664891112,0.010779744039327945
1.7000000000000004,399.01415699408665,399.0,1.7001215839982453,0.00012158399824491184,0.00012158399824491184,0.007151999896759518
1.7500000000000004,393.3272014461402,393.0,1.7529492399297044,0.002949239929703973,0.002949239929703973,0.1685279959830841
1.8000000000000005,387.89851803173747,388.0,1.7990440147893272,-0.0009559852106733047,0.0009559852106733047,0.053110289481850245
1.8500000000000005,382.71090331787303,383.0,1.8471539169062756,-0.002846083093724916,0.002846083093724916,0.15384232939053596
1.9000000000000006,377.7486485720254,378.0,1.8974140423893675,-0.0025859576106330717,0.0025859576106330717,0.13610303213858269
1.9500000000000006,372.99738088153225,373.0,1.949971839345048,-2.8160654952591457e-05,2.8160654952591457e-05,0.001444136151414946
