episode,success,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count
1,1,0.958,1.131,13.479,2,0.0179,113,112
2,1,0.978,0.857,11.25,0,0.0,88,87
3,1,0.969,0.762,10.25,0,0.0,83,82
4,1,0.951,0.774,10.0,0,0.0,80,79
5,1,0.925,1.079,11.723,2,0.018,112,111
6,1,0.973,0.82,10.5,0,0.0,86,85
7,1,0.918,1.063,12.5,0,0.0,114,113
8,1,0.943,1.0,12.75,0,0.0,101,100
9,1,0.92,1.056,11.0,0,0.0,110,109
10,1,0.986,0.729,9.75,0,0.0,75,74
