episode,step,latency_ms,fps,detections,avg_confidence
1,0,15.861781999774394,63.04461882115284,3,0.4071301817893982
1,1,9.927179000442266,100.73355179305712,5,0.4323975920677185
1,2,9.196549000989762,108.73644014644806,4,0.4184233546257019
1,3,9.839962998739793,101.6263984049605,8,0.40630703419446945
1,4,9.13901999956579,109.42092259864971,5,0.32546899318695066
1,5,9.54125000134809,104.80807020659864,7,0.4403999447822571
1,6,9.531415000310517,104.91621652896467,6,0.4551291267077128
1,7,9.317755999290966,107.32197753151026,5,0.5777984857559204
1,8,9.131692999289953,109.50871870941745,4,0.5624411553144455
1,9,9.202171999277198,108.669996613685,4,0.5902705490589142
1,10,8.986159000414773,111.2822508430847,4,0.4667414575815201
1,11,8.87264400080312,112.70597579588267,3,0.6076888640721639
1,12,9.031043999129906,110.72916930715262,3,0.4983225067456563
1,13,8.969717999207205,111.48622510633955,3,0.4815932512283325
1,14,8.953018999818596,111.69416707596194,3,0.35196123520533246
1,15,9.03104600001825,110.72914477436824,4,0.4767370820045471
1,16,8.996440999908373,111.15506676586718,3,0.6090330282847086
1,17,8.66916199993284,115.3514030546144,1,0.8623428344726562
1,18,8.752388999710092,114.25451954125019,2,0.41028836369514465
1,19,8.006327001567115,124.9012187241747,0,0.0
1,20,8.56378799835511,116.7707561410996,1,0.5252929329872131
1,21,7.6274720013316255,131.10503713752306,2,0.3095344305038452
1,22,7.528367999839247,132.83091368824597,1,0.2636629343032837
1,23,8.095069000773947,123.5319921182133,2,0.3482072055339813
1,24,7.047368000712595,141.89694647688114,0,0.0
1,25,6.940356000995962,144.0848279045768,0,0.0
1,26,6.915048999871942,144.61213507214754,0,0.0
1,27,6.902783999976236,144.86908470603203,0,0.0
1,28,7.564888001070358,132.18966359561566,1,0.37376219034194946
1,29,6.865590999950655,145.65388471395795,0,0.0
1,30,6.80918699981703,146.86041079895017,0,0.0
1,31,6.844335999630857,146.10621104135362,0,0.0
1,32,6.817570001658169,146.6798287009565,0,0.0
1,33,6.863994000013918,145.68777303680224,0,0.0
1,34,7.2957270003826125,137.06653222462361,0,0.0
1,35,6.823368999903323,146.55516944989617,0,0.0
1,36,6.828057999882731,146.45452631145994,0,0.0
1,37,6.788806998883956,147.30128580240898,0,0.0
1,38,6.840194999313098,146.19466259374497,0,0.0
