episode,step,detection_index,class_id,class_name,confidence,predicted_distance_m,gt_distance_m,signed_error_m,absolute_error_m,relative_error_pct,bottom_y_px,lowest_x_px,lowest_y_px,lowest_pixel_depth_m,lowest_point_height_m,contact_valid
0,0,0,56,chair,0.3297191858291626,1.1822867244426092,0.6917701959609985,0.49051652848161065,0.49051652848161065,70.9074388208054,479,382,479,0.7358856797218323,0.9503853829577567,False
0,0,1,60,dining table,0.29252079129219055,1.1822867244426092,0.939257025718689,0.24302969872392022,0.24302969872392022,25.87467456396845,479,586,479,1.6790986061096191,0.24592322856187843,False
0,1,0,56,chair,0.3878832459449768,1.1822867244426092,0.6971415281295776,0.48514519631303155,0.48514519631303155,69.59063213672987,479,334,479,1.6838507652282715,0.2423739597201351,False
0,1,1,58,potted plant,0.3402545750141144,2.542172777113504,1.6741641759872437,0.8680086011262604,0.8680086011262604,51.847280785016295,329,537,329,1.6545417308807373,1.0398305810987951,False
0,1,2,60,dining table,0.31260788440704346,1.1822867244426092,0.9196362495422363,0.26265047490037285,0.26265047490037285,28.56025684406322,479,548,479,1.6841720342636108,0.242134011909366,False
0,2,0,56,chair,0.5273714661598206,1.1822867244426092,1.1153210401535034,0.06696568428910576,0.06696568428910576,6.004162198884831,479,382,479,1.1015070676803589,0.6773119088262322,False
0,2,1,56,chair,0.45382532477378845,1.1822867244426092,1.1136183738708496,0.06866835057175957,0.06866835057175957,6.166237212221437,479,294,479,0.7324161529541016,0.9529766857624055,False
0,2,2,58,potted plant,0.40736010670661926,2.8389123183635725,1.8435471057891846,0.9953652125743879,0.9953652125743879,53.991851330985796,313,467,313,1.8212729692459106,1.0845221038907766,False
0,3,0,56,chair,0.49819087982177734,1.1822867244426092,1.1346766948699951,0.047610029572614065,0.047610029572614065,4.195911468690997,479,250,479,0.7302611470222473,0.9545862058177591,False
0,3,1,60,dining table,0.26421603560447693,1.1822867244426092,0.9226327538490295,0.25965397059357964,0.25965397059357964,28.14272195631013,479,498,479,1.0322130918502808,0.7290658470243218,False
0,3,2,56,chair,0.25716432929039,1.1822867244426092,1.167167067527771,0.015119656914838187,0.015119656914838187,1.2954149697578266,479,338,479,1.1021366119384766,0.6768417179584505,False
0,4,0,56,chair,0.4853430986404419,1.1822867244426092,1.1385960578918457,0.04369066655076348,0.04369066655076348,3.8372402791959797,479,202,479,1.6847132444381714,0.2417297955602411,False
0,4,1,59,bed,0.41263464093208313,1.1822867244426092,0.9263438582420349,0.25594286620057427,0.25594286620057427,27.62935857169591,479,475,479,1.6931803226470947,0.23540594652295144,False
0,4,2,56,chair,0.3211008310317993,1.1822867244426092,1.2001590728759766,-0.01787234843336738,0.01787234843336738,1.4891649646525058,479,294,479,1.0987873077392578,0.679343229532242,False
0,5,0,60,dining table,0.6262192726135254,1.1822867244426092,0.9329632520675659,0.24932347237504326,0.24932347237504326,26.723825597901158,479,455,479,1.6972397565841675,0.23237405680120027,False
0,5,1,56,chair,0.6197707056999207,1.1822867244426092,1.130589485168457,0.05169723927415215,0.05169723927415215,4.572591550897831,479,150,479,0.6614357829093933,1.005990149639547,False
0,5,2,56,chair,0.47718605399131775,1.1822867244426092,1.2171282768249512,-0.03484155238234199,0.03484155238234199,2.8626031492120974,479,250,479,1.1032236814498901,0.6760298129171135,False
