model_name,episode,total_samples,contact_valid_samples,contact_valid_rate,all_mae_m,all_rmse_m,all_mape_pct,all_mean_signed_error_m,contact_valid_mae_m,contact_valid_rmse_m,contact_valid_mape_pct,contact_valid_mean_signed_error_m
yolo26n_seg_pt,0,78,49,0.6282051282051282,1.6211970442679027,3.3505977153367787,62.95270251136583,1.267653945893554,0.24323012889058512,0.2677516757807827,10.466313699496276,-0.19504403692005415
yolo26n_seg_pt,1,221,100,0.45248868778280543,1.04470581300746,1.6810145166861241,37.33105250308623,0.7970602798651596,0.24326268074964985,0.2837501628272381,8.288395579178218,-0.21629903392555527
yolo26n_seg_pt,2,207,99,0.4782608695652174,1.1918390502838798,2.0308591259134325,50.88113168944904,0.9865833185945398,0.3135813522063405,0.4914493392750592,19.89034490715548,-0.10469548139750451
yolo26n_seg_pt,3,128,69,0.5390625,1.8981587261841484,4.383676711864738,103.77707490122035,1.6854014214052815,0.23186266666392866,0.28316337610104475,15.618949291978899,-0.09389069870993236
yolo26n_seg_pt,4,177,94,0.5310734463276836,1.8124893081189493,4.270164368050626,96.01003332134219,1.6235479829429982,0.20492292465136056,0.2520421695724848,11.083288316900052,-0.1184676418798244
yolo26n_seg_pt,5,248,122,0.49193548387096775,0.9105882753161156,1.666267618981541,37.051565030508044,0.6883197514284229,0.22894677770311878,0.2713461553719132,8.544459805259246,-0.18668972076959994
yolo26n_seg_pt,6,179,100,0.5586592178770949,1.3620897073794658,3.1465998004149185,78.22938137000405,1.1533574698595572,0.21542721556057448,0.27608479640517775,14.595372256339363,-0.08732602490735453
yolo26n_seg_pt,7,121,74,0.6115702479338843,1.4577707473169552,3.001465393139912,60.583205153308874,1.2483864321996145,0.23142228496813724,0.2936613017091629,11.928534656948536,-0.11094936542643377
yolo26n_seg_pt,8,234,128,0.5470085470085471,1.0830741717299395,1.7982706837241984,51.02746627663227,0.8655381715832325,0.3266206154689932,0.5416782728897278,23.970651429064787,-0.06416119932505976
yolo26n_seg_pt,9,139,74,0.5323741007194245,1.8808389819343339,4.022808134921004,98.80063103609315,1.7041688828270367,0.21372342919241988,0.25088208147760127,14.277626002549827,-0.09103252608507874
