episode,step,detection_index,class_id,class_name,confidence,predicted_distance_m,gt_distance_m,signed_error_m,absolute_error_m,relative_error_pct,bottom_y_px,lowest_x_px,lowest_y_px,lowest_pixel_depth_m,lowest_point_height_m,contact_valid
0,0,0,13,bench,0.6967965364456177,3.3060809373083413,3.7071969127928353,-0.40111597548449396,0.40111597548449396,10.819926346515842,293,386,293,3.923524856567383,-0.14317421124844332,True
0,0,1,1,bicycle,0.41018369793891907,3.6571519736962883,4.073191206906634,-0.4160392332103453,0.4160392332103453,10.214085518619795,281,353,281,4.292647838592529,-0.14227387651116574,True
0,0,2,62,tv,0.27717289328575134,10.604093960483102,4.454788364800707,6.149305595682395,6.149305595682395,138.03810848279198,201,420,201,4.615511894226074,0.8487658797111945,False
0,1,0,1,bicycle,0.69328373670578,3.5329678035523537,3.9270041806519407,-0.39403637709958694,0.39403637709958694,10.034019801684323,285,353,285,4.159819602966309,-0.1416826418897097,True
0,1,1,13,bench,0.6424165368080139,3.103932365323887,3.455064728140468,-0.351132362816581,0.351132362816581,10.162830234603508,301,390,301,3.7100870609283447,-0.1433780763124013,True
0,1,2,56,chair,0.5834043025970459,1.1921038660878276,1.3022298579070275,-0.11012599181919991,0.11012599181919991,8.456724529123976,477,637,477,1.660370945930481,-0.11754642636963375,True
0,1,3,13,bench,0.33499637246131897,1.1921038660878276,1.3022298579070275,-0.11012599181919991,0.11012599181919991,8.456724529123976,477,637,477,1.660370945930481,-0.11754642636963375,True
0,2,0,1,bicycle,0.7197263836860657,3.202174322980737,3.562068156248286,-0.35989383326754876,0.35989383326754876,10.103507779216764,297,358,297,3.8126087188720703,-0.14275619154402808,True
0,2,1,13,bench,0.4746815860271454,2.9443096527118753,3.263580419073428,-0.3192707663615528,0.3192707663615528,9.782837416710505,308,397,308,3.538860559463501,-0.1423083328809005,True
0,2,2,71,sink,0.33512386679649353,3.202174322980737,1.539101346164944,1.663072976815793,1.663072976815793,108.05480619971877,297,125,297,1.6497910022735596,0.7891469900062785,False
0,2,3,39,bottle,0.2879337668418884,3.010904127673106,1.309223131528434,1.701680996144672,1.701680996144672,129.97639250064796,305,77,305,1.4042941331863403,0.8610142518062365,False
0,2,4,62,tv,0.25013118982315063,14.405417795833678,4.095504390906908,10.309913404926771,10.309913404926771,251.73733002990986,189,418,189,4.065864562988281,1.0735940130623787,False
0,3,0,1,bicycle,0.7555436491966248,3.3060809373083413,3.6759163249344624,-0.3698353876261211,0.3698353876261211,10.06103934187661,293,304,293,3.921049118041992,-0.14213737069118104,True
0,3,1,1,bicycle,0.46433791518211365,4.24359786465229,4.7147739329513545,-0.4711760682990649,0.4711760682990649,9.993608919529214,265,584,265,4.936266899108887,-0.15010517295675618,False
0,3,2,54,donut,0.2932530641555786,2.3529875412892904,1.00596364331635,1.3470238979729405,1.3470238979729405,133.90383508614892,341,2,341,1.1288628578186035,0.8636719910275213,False
0,3,3,60,dining table,0.2505207061767578,3.010904127673106,3.335961904473411,-0.3250577768003051,0.3250577768003051,9.744049425876648,305,340,305,3.612701416015625,-0.14386125581505627,True
0,4,0,1,bicycle,0.5523489713668823,3.202174322980737,3.5612883711147605,-0.35911404813402337,0.35911404813402337,10.083823906167218,297,253,297,3.8117423057556152,-0.14238287615384748,True
0,4,1,56,chair,0.5040239691734314,4.08165363695277,2.3263022961211863,1.7553513408315835,1.7553513408315835,75.45671702935637,269,605,269,2.1319503784179688,0.7615860388658431,False
0,4,2,13,bench,0.4359641671180725,3.010904127673106,3.332280521583849,-0.321376393910743,0.321376393910743,9.644337919005428,305,289,305,3.6128571033477783,-0.14393209708973598,True
0,4,3,60,dining table,0.4048881530761719,1.3201623268661429,1.4531069627335707,-0.13294463586742777,0.13294463586742777,9.14899173129923,453,556,453,1.8142027854919434,-0.13598171427168904,True
0,4,4,45,bowl,0.33514851331710815,3.789430025844956,1.7217123677640687,2.067717658080887,2.067717658080887,120.09657924256909,277,14,277,1.8358008861541748,0.8198280268633246,False
0,5,0,1,bicycle,0.7747112512588501,3.010904127673106,3.344696085557184,-0.333791957884078,0.333791957884078,9.979739544212505,305,247,305,3.6095147132873535,-0.1424112336445047,True
